target_ratio,target_agent_part,target_arm_part,n_agents,n_arms,epsilon,mean_group_total_reward,policy_label
20:1,20,1,100,5,0.01,862.9877672485334,Degradation
20:1,20,1,100,5,0.12,192220.1983517786,Full reward
20:1,20,1,100,5,0.26,7522.050845552239,Linear share
20:1,20,1,100,5,0.22,7510.80688344973,Random roulette
20:1,20,1,100,5,0.01,3045.810678385288,Zero-on-collision
5:1,5,1,100,20,0.5,11039.795919497708,Degradation
5:1,5,1,100,20,0.09,199868.55313673272,Full reward
5:1,5,1,100,20,0.12,29948.147259496105,Linear share
5:1,5,1,100,20,0.16,29927.653992499912,Random roulette
5:1,5,1,100,20,0.01,23135.571774275104,Zero-on-collision
4:1,4,1,100,25,0.5,16411.229459140068,Degradation
4:1,4,1,100,25,0.09,202908.6478231302,Full reward
4:1,4,1,100,25,0.12,37309.18274972742,Linear share
4:1,4,1,100,25,0.1,37253.31849952667,Random roulette
4:1,4,1,100,25,0.01,30152.374087787244,Zero-on-collision
3:1,3,1,100,33,0.4,25706.776225565063,Degradation
3:1,3,1,100,33,0.09,208962.70371736903,Full reward
3:1,3,1,100,33,0.08,48776.95616744419,Linear share
3:1,3,1,100,33,0.07,48695.30718512131,Random roulette
3:1,3,1,100,33,0.01,41802.61473419694,Zero-on-collision
2:1,2,1,100,50,0.08,48169.667379404484,Degradation
2:1,2,1,100,50,0.1,222313.3129450791,Full reward
2:1,2,1,100,50,0.04,70946.4306479053,Linear share
2:1,2,1,100,50,0.03,71215.2190314867,Random roulette
2:1,2,1,100,50,0.01,64626.08587518557,Zero-on-collision
1:1,1,1,100,100,0.03,114300.75572569734,Degradation
1:1,1,1,100,100,0.09,262708.8010970163,Full reward
1:1,1,1,100,100,0.06,128183.90331368166,Linear share
1:1,1,1,100,100,0.03,128765.32991316437,Random roulette
1:1,1,1,100,100,0.03,130038.9432882328,Zero-on-collision
1:2,1,2,100,200,0.05,267495.836024889,Degradation
1:2,1,2,100,200,0.09,352965.5013010116,Full reward
1:2,1,2,100,200,0.06,263542.723104171,Linear share
1:2,1,2,100,200,0.05,261554.9482670299,Random roulette
1:2,1,2,100,200,0.05,263252.4042522076,Zero-on-collision
1:3,1,3,100,300,0.06,373941.5224331197,Degradation
1:3,1,3,100,300,0.09,442866.2013367074,Full reward
1:3,1,3,100,300,0.07,376328.15817946696,Linear share
1:3,1,3,100,300,0.06,372295.96783886163,Random roulette
1:3,1,3,100,300,0.06,367992.70585089625,Zero-on-collision
1:4,1,4,100,400,0.07,471141.6983493149,Degradation
1:4,1,4,100,400,0.09,533471.9562704003,Full reward
1:4,1,4,100,400,0.07,474617.06559665455,Linear share
1:4,1,4,100,400,0.06,470961.1693714231,Random roulette
1:4,1,4,100,400,0.06,465499.8580336535,Zero-on-collision
1:5,1,5,100,500,0.07,567381.4242086472,Degradation
1:5,1,5,100,500,0.09,623780.892369187,Full reward
1:5,1,5,100,500,0.07,570523.6399258504,Linear share
1:5,1,5,100,500,0.07,566413.8359849358,Random roulette
1:5,1,5,100,500,0.07,560576.1933466445,Zero-on-collision
1:20,1,20,100,2000,0.08,1938644.2628068924,Degradation
1:20,1,20,100,2000,0.09,1981605.6673217774,Full reward
1:20,1,20,100,2000,0.09,1942922.2977591543,Linear share
1:20,1,20,100,2000,0.09,1938878.7848385752,Random roulette
1:20,1,20,100,2000,0.09,1931373.2276292115,Zero-on-collision
