collision_policy,degradation_strength,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
degradation,0.5,100,100,1.0,1,1.0,0.01,0,1000,435295.3963353114,4352.953963353114,1.0,1781.1046444922586
degradation,0.5,100,100,1.0,1,1.0,0.01,1,1000,424349.63314257126,4243.496331425713,1.0,1924.6978412626283
degradation,0.5,100,100,1.0,1,1.0,0.01,2,1000,427815.7195122098,4278.1571951220985,1.0,1748.1732644833673
degradation,0.5,100,100,1.0,1,1.0,0.01,3,1000,420290.65059574,4202.9065059574,1.0,1627.8604882622176
degradation,0.5,100,100,1.0,1,1.0,0.01,4,1000,412138.8697005799,4121.388697005799,1.0,1690.5805512266709
degradation,0.5,100,100,1.0,1,1.0,0.01,5,1000,433674.0283070407,4336.740283070407,1.0,2057.4924803229983
degradation,0.5,100,100,1.0,1,1.0,0.01,6,1000,405330.4981893071,4053.3049818930713,1.0,1550.952638425544
degradation,0.5,100,100,1.0,1,1.0,0.01,7,1000,429732.6628473073,4297.326628473073,1.0,1879.3284809941165
degradation,0.5,100,100,1.0,1,1.0,0.01,8,1000,437938.90018218866,4379.389001821886,1.0,1854.020201761112
degradation,0.5,100,100,1.0,1,1.0,0.01,9,1000,430895.87843478034,4308.958784347804,1.0,1907.868555025903
degradation,0.5,100,100,1.0,1,1.0,0.01,10,1000,415619.7408591807,4156.197408591807,1.0,1734.0183572289654
degradation,0.5,100,100,1.0,1,1.0,0.01,11,1000,419575.0123110793,4195.750123110793,1.0,2061.0159780240097
degradation,0.5,100,100,1.0,1,1.0,0.01,12,1000,432148.89106113143,4321.488910611314,1.0,1826.9168409790514
degradation,0.5,100,100,1.0,1,1.0,0.01,13,1000,420781.99847433256,4207.819984743325,1.0,1631.2997808834227
degradation,0.5,100,100,1.0,1,1.0,0.01,14,1000,425854.21152543754,4258.542115254375,1.0,1746.0533836120082
degradation,0.5,100,100,1.0,1,1.0,0.01,15,1000,424906.80325484526,4249.068032548453,1.0,1949.8032358294154
degradation,0.5,100,100,1.0,1,1.0,0.01,16,1000,421640.18805501884,4216.401880550188,1.0,1847.4595635265773
degradation,0.5,100,100,1.0,1,1.0,0.01,17,1000,424045.2476082099,4240.452476082099,1.0,1887.7993876505554
degradation,0.5,100,100,1.0,1,1.0,0.01,18,1000,437980.19386926485,4379.801938692649,1.0,1885.5378147886188
degradation,0.5,100,100,1.0,1,1.0,0.01,19,1000,421589.03952118004,4215.890395211801,1.0,1788.0730527180922
degradation,0.5,100,100,1.0,1,1.0,0.01,20,1000,421163.4577374955,4211.6345773749545,1.0,1724.3792310763552
degradation,0.5,100,100,1.0,1,1.0,0.01,21,1000,433938.6439617298,4339.386439617298,1.0,1859.7633832851109
degradation,0.5,100,100,1.0,1,1.0,0.01,22,1000,432018.00106454355,4320.180010645436,1.0,1766.5028825708432
degradation,0.5,100,100,1.0,1,1.0,0.01,23,1000,425219.96058714326,4252.199605871432,1.0,1650.6062357526769
degradation,0.5,100,100,1.0,1,1.0,0.01,24,1000,418374.44239767233,4183.744423976724,1.0,1853.3566763476488
degradation,0.5,100,100,1.0,1,1.0,0.01,25,1000,425604.32278175966,4256.043227817597,1.0,1697.9566994528918
degradation,0.5,100,100,1.0,1,1.0,0.01,26,1000,418719.2610009568,4187.192610009568,1.0,1895.3121606560223
degradation,0.5,100,100,1.0,1,1.0,0.01,27,1000,437180.8783419259,4371.808783419259,1.0,1780.385436761306
degradation,0.5,100,100,1.0,1,1.0,0.01,28,1000,420733.4638818296,4207.334638818295,1.0,1803.9746144271558
degradation,0.5,100,100,1.0,1,1.0,0.01,29,1000,431717.31879434467,4317.1731879434465,1.0,1935.5195834848448
degradation,0.5,100,100,1.0,1,1.0,0.01,30,1000,407152.2533040477,4071.522533040477,1.0,1808.557325260309
degradation,0.5,100,100,1.0,1,1.0,0.01,31,1000,440626.77980058873,4406.267798005887,1.0,1862.1215666295325
degradation,0.5,100,100,1.0,1,1.0,0.01,32,1000,408031.2828955386,4080.312828955386,1.0,1560.9087800469265
degradation,0.5,100,100,1.0,1,1.0,0.01,33,1000,435294.38706338004,4352.9438706338005,1.0,1966.950486927856
degradation,0.5,100,100,1.0,1,1.0,0.01,34,1000,433701.785894769,4337.01785894769,1.0,1878.8747141298275
degradation,0.5,100,100,1.0,1,1.0,0.01,35,1000,433946.2007171573,4339.462007171573,1.0,2000.3353098398516
degradation,0.5,100,100,1.0,1,1.0,0.01,36,1000,424375.0491451867,4243.750491451868,1.0,1714.4501932591006
degradation,0.5,100,100,1.0,1,1.0,0.01,37,1000,430456.42959590384,4304.564295959039,1.0,1816.6769672550395
degradation,0.5,100,100,1.0,1,1.0,0.01,38,1000,418416.38415870746,4184.163841587075,1.0,1653.542903686594
degradation,0.5,100,100,1.0,1,1.0,0.01,39,1000,427710.9498254282,4277.109498254282,1.0,1691.1279641981532
degradation,0.5,100,100,1.0,1,1.0,0.01,40,1000,425179.8296481582,4251.798296481582,1.0,1779.7086433840632
degradation,0.5,100,100,1.0,1,1.0,0.01,41,1000,443184.1477326508,4431.841477326508,1.0,1879.901748011305
degradation,0.5,100,100,1.0,1,1.0,0.01,42,1000,422605.4105567575,4226.054105567575,1.0,1684.7387985304242
degradation,0.5,100,100,1.0,1,1.0,0.01,43,1000,421850.39574813936,4218.503957481394,1.0,2004.2233432090782
degradation,0.5,100,100,1.0,1,1.0,0.01,44,1000,435760.85824511695,4357.608582451169,1.0,1798.9901137454567
degradation,0.5,100,100,1.0,1,1.0,0.01,45,1000,423856.6962894392,4238.566962894392,1.0,1849.1448806313392
degradation,0.5,100,100,1.0,1,1.0,0.01,46,1000,421145.44559127826,4211.454455912783,1.0,1775.5682392521255
degradation,0.5,100,100,1.0,1,1.0,0.01,47,1000,413034.75568401034,4130.347556840104,1.0,1568.5447100450408
degradation,0.5,100,100,1.0,1,1.0,0.01,48,1000,419035.20840887004,4190.3520840887,1.0,1663.023668702185
