collision_policy,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
full_value,100,100,1.0,1,1.0,0.01,0,1000,852589.8820575009,8525.898820575008,1.0,1916.0894946388348
full_value,100,100,1.0,1,1.0,0.01,1,1000,838451.8661828628,8384.518661828628,1.0,1847.7616875636743
full_value,100,100,1.0,1,1.0,0.01,2,1000,872350.7379002218,8723.507379002218,1.0,1489.625966261758
full_value,100,100,1.0,1,1.0,0.01,3,1000,851050.6180280322,8510.506180280323,1.0,1757.2428119244162
full_value,100,100,1.0,1,1.0,0.01,4,1000,841197.6750182897,8411.976750182897,1.0,1803.8161158720497
full_value,100,100,1.0,1,1.0,0.01,5,1000,841624.5138982097,8416.245138982096,1.0,1875.7886241472852
full_value,100,100,1.0,1,1.0,0.01,6,1000,843305.4515037504,8433.054515037504,1.0,1671.8281637358423
full_value,100,100,1.0,1,1.0,0.01,7,1000,838039.1444798255,8380.391444798255,1.0,1986.78046629208
full_value,100,100,1.0,1,1.0,0.01,8,1000,877023.3188382924,8770.233188382925,1.0,2048.0960977243803
full_value,100,100,1.0,1,1.0,0.01,9,1000,845284.9174103941,8452.84917410394,1.0,1849.8154184867146
full_value,100,100,1.0,1,1.0,0.01,10,1000,852503.9552747891,8525.03955274789,1.0,1849.1999953367394
full_value,100,100,1.0,1,1.0,0.01,11,1000,817902.8510118388,8179.028510118387,1.0,1895.8607816001204
full_value,100,100,1.0,1,1.0,0.01,12,1000,842953.1530608387,8429.531530608387,1.0,1650.2199534412118
full_value,100,100,1.0,1,1.0,0.01,13,1000,843776.0887488663,8437.760887488663,1.0,1794.2487022290622
full_value,100,100,1.0,1,1.0,0.01,14,1000,842557.109732196,8425.57109732196,1.0,1928.378716490406
full_value,100,100,1.0,1,1.0,0.01,15,1000,864877.4996857062,8648.774996857062,1.0,1613.198701214149
full_value,100,100,1.0,1,1.0,0.01,16,1000,813948.1058114814,8139.481058114814,1.0,1871.531267601499
full_value,100,100,1.0,1,1.0,0.01,17,1000,869651.4031849366,8696.514031849367,1.0,1749.3999415108103
full_value,100,100,1.0,1,1.0,0.01,18,1000,816673.4457117517,8166.734457117517,1.0,1561.1222172463297
full_value,100,100,1.0,1,1.0,0.01,19,1000,826040.0750017776,8260.400750017776,1.0,1642.9639443008323
full_value,100,100,1.0,1,1.0,0.01,20,1000,853342.4906431496,8533.424906431495,1.0,1789.522275315915
full_value,100,100,1.0,1,1.0,0.01,21,1000,843332.6578619686,8433.326578619686,1.0,1825.328541456926
full_value,100,100,1.0,1,1.0,0.01,22,1000,850427.9512567905,8504.279512567906,1.0,1895.698208847533
full_value,100,100,1.0,1,1.0,0.01,23,1000,842121.6406450546,8421.216406450547,1.0,1766.7904435936957
full_value,100,100,1.0,1,1.0,0.01,24,1000,849413.2211444752,8494.132211444752,1.0,1779.3644081028217
full_value,100,100,1.0,1,1.0,0.01,25,1000,878480.9531589992,8784.809531589992,1.0,1606.561927545892
full_value,100,100,1.0,1,1.0,0.01,26,1000,830986.542457925,8309.86542457925,1.0,2046.9274287400156
full_value,100,100,1.0,1,1.0,0.01,27,1000,855589.1197436475,8555.891197436475,1.0,1474.1892068200193
full_value,100,100,1.0,1,1.0,0.01,28,1000,855019.5114867527,8550.195114867527,1.0,1729.0621536462208
full_value,100,100,1.0,1,1.0,0.01,29,1000,842944.1688485302,8429.441688485302,1.0,1756.098520155112
full_value,100,100,1.0,1,1.0,0.01,30,1000,837496.922127513,8374.96922127513,1.0,1709.3265332610429
full_value,100,100,1.0,1,1.0,0.01,31,1000,859213.9969261442,8592.139969261443,1.0,1476.8163971438019
full_value,100,100,1.0,1,1.0,0.01,32,1000,859200.7224025847,8592.007224025847,1.0,1814.9152453551796
