n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
100,100,1.0,1,1.0,0.01,0,1000,475802.2226021998,4758.022226021998,1.0,1420.9056795798003
100,100,1.0,1,1.0,0.01,1,1000,458216.44109688856,4582.164410968886,1.0,1297.9087615555895
100,100,1.0,1,1.0,0.01,2,1000,475944.36171735445,4759.443617173544,1.0,1386.5360477664133
100,100,1.0,1,1.0,0.01,3,1000,477675.6928972188,4776.756928972188,1.0,1307.475226405101
100,100,1.0,1,1.0,0.01,4,1000,471812.9073970498,4718.129073970498,1.0,1300.015118320039
100,100,1.0,1,1.0,0.01,5,1000,470355.50249349547,4703.555024934954,1.0,1506.8736944490158
100,100,1.0,1,1.0,0.01,6,1000,474503.3008548994,4745.033008548994,1.0,1513.603464669503
100,100,1.0,1,1.0,0.01,7,1000,469462.03279382054,4694.620327938205,1.0,1428.7144888679113
100,100,1.0,1,1.0,0.01,8,1000,476445.32411578065,4764.453241157807,1.0,1511.7583100794645
100,100,1.0,1,1.0,0.01,9,1000,481955.82501297403,4819.55825012974,1.0,1361.9777109652803
100,100,1.0,1,1.0,0.01,10,1000,476352.10743622575,4763.521074362257,1.0,1606.0961450358102
100,100,1.0,1,1.0,0.01,11,1000,460723.900910158,4607.23900910158,1.0,1332.9864623162189
100,100,1.0,1,1.0,0.01,12,1000,474634.71194608277,4746.347119460827,1.0,1486.0720430423157
100,100,1.0,1,1.0,0.01,13,1000,470742.87862683815,4707.428786268381,1.0,1220.6092294563948
100,100,1.0,1,1.0,0.01,14,1000,465187.3368817739,4651.873368817739,1.0,1526.6037123215674
100,100,1.0,1,1.0,0.01,15,1000,473323.55992386333,4733.235599238633,1.0,1602.1161828596057
100,100,1.0,1,1.0,0.01,16,1000,460232.48600003694,4602.324860000369,1.0,1218.2338878027126
100,100,1.0,1,1.0,0.01,17,1000,460242.2444445824,4602.422444445824,1.0,1504.643744217692
100,100,1.0,1,1.0,0.01,18,1000,474402.15871072415,4744.021587107241,1.0,1416.6530416660462
100,100,1.0,1,1.0,0.01,19,1000,466422.9521931294,4664.229521931294,1.0,1447.8338930934462
100,100,1.0,1,1.0,0.01,20,1000,460604.09229360573,4606.0409229360575,1.0,1450.2070455624971
100,100,1.0,1,1.0,0.01,21,1000,478014.68846589315,4780.146884658931,1.0,1691.7002124989076
100,100,1.0,1,1.0,0.01,22,1000,477916.29918428743,4779.162991842874,1.0,1407.6357564864395
100,100,1.0,1,1.0,0.01,23,1000,477602.95501417876,4776.029550141788,1.0,1533.8071440828026
100,100,1.0,1,1.0,0.01,24,1000,473349.60402501526,4733.496040250153,1.0,1526.3374768467936
