collision_policy,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
random_roulette,100,100,1.0,1,1.0,0.01,0,1000,496106.6005749001,4961.066005749001,1.0,2469.3374741058165
random_roulette,100,100,1.0,1,1.0,0.01,1,1000,479050.60903319897,4790.50609033199,1.0,2262.426270046032
random_roulette,100,100,1.0,1,1.0,0.01,2,1000,478858.5088058806,4788.585088058806,1.0,1939.1722615396786
random_roulette,100,100,1.0,1,1.0,0.01,3,1000,479658.32627584884,4796.583262758489,1.0,2022.6225373132627
random_roulette,100,100,1.0,1,1.0,0.01,4,1000,487977.5601592605,4879.775601592605,1.0,2078.219996950469
random_roulette,100,100,1.0,1,1.0,0.01,5,1000,479421.36164988385,4794.213616498839,1.0,2216.4313518887934
random_roulette,100,100,1.0,1,1.0,0.01,6,1000,475865.7230511045,4758.657230511045,1.0,2160.4222040804802
random_roulette,100,100,1.0,1,1.0,0.01,7,1000,485416.6455792023,4854.166455792023,1.0,2023.4344922830844
random_roulette,100,100,1.0,1,1.0,0.01,8,1000,493894.73904147744,4938.947390414774,1.0,2267.6950823897164
random_roulette,100,100,1.0,1,1.0,0.01,9,1000,496682.97201577236,4966.829720157723,1.0,2039.0851775079634
random_roulette,100,100,1.0,1,1.0,0.01,10,1000,482858.7475934261,4828.5874759342605,1.0,2334.3197154059867
random_roulette,100,100,1.0,1,1.0,0.01,11,1000,474277.3410322348,4742.773410322347,1.0,2298.3744149787813
random_roulette,100,100,1.0,1,1.0,0.01,12,1000,481928.0744971732,4819.280744971732,1.0,2142.4075231854877
random_roulette,100,100,1.0,1,1.0,0.01,13,1000,476463.37424332206,4764.6337424332205,1.0,2009.4329238293642
random_roulette,100,100,1.0,1,1.0,0.01,14,1000,480665.42923388357,4806.654292338836,1.0,1998.4246365582876
random_roulette,100,100,1.0,1,1.0,0.01,15,1000,473571.9498543474,4735.7194985434735,1.0,2026.2047992945486
random_roulette,100,100,1.0,1,1.0,0.01,16,1000,475177.602818522,4751.776028185221,1.0,2126.6064347239644
random_roulette,100,100,1.0,1,1.0,0.01,17,1000,472171.55832730856,4721.715583273086,1.0,2036.935259403134
random_roulette,100,100,1.0,1,1.0,0.01,18,1000,474938.44074742094,4749.384407474209,1.0,2400.6973716372163
random_roulette,100,100,1.0,1,1.0,0.01,19,1000,475203.3086506444,4752.033086506443,1.0,2000.8542118878943
random_roulette,100,100,1.0,1,1.0,0.01,20,1000,476012.8028879695,4760.128028879695,1.0,2364.9571007326413
random_roulette,100,100,1.0,1,1.0,0.01,21,1000,490568.65032470843,4905.686503247084,1.0,2207.323036948274
random_roulette,100,100,1.0,1,1.0,0.01,22,1000,490072.37508803786,4900.723750880378,1.0,1899.2456629853516
random_roulette,100,100,1.0,1,1.0,0.01,23,1000,502639.34705503227,5026.3934705503225,1.0,2261.0193673828117
random_roulette,100,100,1.0,1,1.0,0.01,24,1000,473126.4245090936,4731.264245090936,1.0,2177.658227513122
random_roulette,100,100,1.0,1,1.0,0.01,25,1000,487515.9912142383,4875.159912142382,1.0,2027.6386721844747
random_roulette,100,100,1.0,1,1.0,0.01,26,1000,481659.3026185686,4816.593026185686,1.0,2226.7098768063133
random_roulette,100,100,1.0,1,1.0,0.01,27,1000,486396.2508617346,4863.962508617346,1.0,2135.0044735281335
random_roulette,100,100,1.0,1,1.0,0.01,28,1000,496476.44933487027,4964.764493348703,1.0,2363.4658059407116
random_roulette,100,100,1.0,1,1.0,0.01,29,1000,483384.5776529213,4833.845776529213,1.0,2143.3539245266866
random_roulette,100,100,1.0,1,1.0,0.01,30,1000,493096.43145842873,4930.964314584287,1.0,2148.3055647343035
random_roulette,100,100,1.0,1,1.0,0.01,31,1000,477633.78567028436,4776.337856702844,1.0,2141.21162662636
random_roulette,100,100,1.0,1,1.0,0.01,32,1000,482587.81126735965,4825.878112673597,1.0,2255.5700160600554
random_roulette,100,100,1.0,1,1.0,0.01,33,1000,471307.3275508862,4713.073275508862,1.0,1917.960322488504
random_roulette,100,100,1.0,1,1.0,0.01,34,1000,468898.63497503963,4688.986349750397,1.0,2015.8072380543992
random_roulette,100,100,1.0,1,1.0,0.01,35,1000,479665.663948692,4796.65663948692,1.0,2212.006513819018
random_roulette,100,100,1.0,1,1.0,0.01,36,1000,485515.62343540636,4855.156234354064,1.0,2001.7870492083332
random_roulette,100,100,1.0,1,1.0,0.01,37,1000,479523.04584811063,4795.230458481106,1.0,2156.278145550786
random_roulette,100,100,1.0,1,1.0,0.01,38,1000,476779.34340631706,4767.793434063171,1.0,2280.3717291883045
random_roulette,100,100,1.0,1,1.0,0.01,39,1000,489502.6649194068,4895.026649194068,1.0,2183.358153077447
random_roulette,100,100,1.0,1,1.0,0.01,40,1000,467557.92636083375,4675.579263608338,1.0,2020.831577266748
random_roulette,100,100,1.0,1,1.0,0.01,41,1000,475316.37325957755,4753.163732595775,1.0,2157.679095864942
random_roulette,100,100,1.0,1,1.0,0.01,42,1000,485830.7308699993,4858.307308699993,1.0,2178.005237571697
random_roulette,100,100,1.0,1,1.0,0.01,43,1000,484212.15014771296,4842.12150147713,1.0,2122.8432431927713
random_roulette,100,100,1.0,1,1.0,0.01,44,1000,489235.80575462145,4892.358057546215,1.0,2359.04303215013
random_roulette,100,100,1.0,1,1.0,0.01,45,1000,493054.05159295164,4930.540515929516,1.0,2178.842756870884
random_roulette,100,100,1.0,1,1.0,0.01,46,1000,463400.81774777855,4634.0081774777855,1.0,2233.468297871685
random_roulette,100,100,1.0,1,1.0,0.01,47,1000,484680.97124853946,4846.809712485395,1.0,2225.5521005974756
random_roulette,100,100,1.0,1,1.0,0.01,48,1000,477254.6584161982,4772.5465841619825,1.0,2213.0820364612287
random_roulette,100,100,1.0,1,1.0,0.01,49,1000,481087.44231711206,4810.874423171121,1.0,2074.6787461763092
random_roulette,100,100,1.0,1,1.0,0.02,0,1000,508895.867192632,5088.95867192632,1.0,1480.9680022676537
random_roulette,100,100,1.0,1,1.0,0.02,1,1000,504448.4575907724,5044.484575907724,1.0,1513.6445629960047
random_roulette,100,100,1.0,1,1.0,0.02,2,1000,502315.31440819957,5023.153144081995,1.0,1324.8589859844578
random_roulette,100,100,1.0,1,1.0,0.02,3,1000,504591.8396128623,5045.9183961286235,1.0,1362.506189257571
random_roulette,100,100,1.0,1,1.0,0.02,4,1000,501906.8529597507,5019.068529597507,1.0,1409.0539509907098
random_roulette,100,100,1.0,1,1.0,0.02,5,1000,505888.62546434783,5058.886254643478,1.0,1751.9810802547888
random_roulette,100,100,1.0,1,1.0,0.02,6,1000,513955.8420977737,5139.558420977737,1.0,1629.1579667716035
random_roulette,100,100,1.0,1,1.0,0.02,7,1000,505789.26354106335,5057.892635410633,1.0,1616.8849997847517
random_roulette,100,100,1.0,1,1.0,0.02,8,1000,510006.82949983934,5100.068294998393,1.0,1564.7244896509794
random_roulette,100,100,1.0,1,1.0,0.02,9,1000,508006.97505166463,5080.069750516646,1.0,1497.2219734548844
random_roulette,100,100,1.0,1,1.0,0.02,10,1000,506213.80875037814,5062.138087503781,1.0,1660.3838041029303
random_roulette,100,100,1.0,1,1.0,0.02,11,1000,511275.3791969605,5112.753791969605,1.0,1484.4383100686155
random_roulette,100,100,1.0,1,1.0,0.02,12,1000,503048.3533578149,5030.483533578149,1.0,1558.3480528593561
random_roulette,100,100,1.0,1,1.0,0.02,13,1000,506884.83773695986,5068.848377369599,1.0,1694.0873177164278
random_roulette,100,100,1.0,1,1.0,0.02,14,1000,504859.09615390125,5048.590961539013,1.0,1733.3512074708733
random_roulette,100,100,1.0,1,1.0,0.02,15,1000,503911.957336656,5039.11957336656,1.0,1778.4654631817136
random_roulette,100,100,1.0,1,1.0,0.02,16,1000,499241.6784420901,4992.416784420901,1.0,1495.359542716954
random_roulette,100,100,1.0,1,1.0,0.02,17,1000,498679.5432356482,4986.795432356482,1.0,1409.9370420127168
random_roulette,100,100,1.0,1,1.0,0.02,18,1000,495337.85022902896,4953.378502290289,1.0,1570.3772015862191
random_roulette,100,100,1.0,1,1.0,0.02,19,1000,507551.11202382704,5075.51112023827,1.0,1485.230569862436
random_roulette,100,100,1.0,1,1.0,0.02,20,1000,508146.7766053476,5081.467766053476,1.0,1691.8370959765282
