collision_policy,n_agents,n_arms,agent_to_arm_ratio,arms_per_agent,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
zero_on_collision,100,100,1.0,1,1.0,0.01,0,1000,512740.2712265828,5127.402712265828,1.0,3537.691982957464
zero_on_collision,100,100,1.0,1,1.0,0.01,1,1000,489974.50585139403,4899.74505851394,1.0,3416.566142007304
zero_on_collision,100,100,1.0,1,1.0,0.01,2,1000,493079.6389901035,4930.796389901035,1.0,3433.692340907394
zero_on_collision,100,100,1.0,1,1.0,0.01,3,1000,481322.18935752095,4813.22189357521,1.0,3361.307505153921
zero_on_collision,100,100,1.0,1,1.0,0.01,4,1000,486126.4169949736,4861.264169949736,1.0,3350.713171422668
zero_on_collision,100,100,1.0,1,1.0,0.01,5,1000,483615.4303094701,4836.154303094701,1.0,3438.4022844815586
zero_on_collision,100,100,1.0,1,1.0,0.01,6,1000,503895.65345753386,5038.956534575339,1.0,3488.683985727131
zero_on_collision,100,100,1.0,1,1.0,0.01,7,1000,479558.1869329906,4795.581869329906,1.0,3440.8200820815155
zero_on_collision,100,100,1.0,1,1.0,0.01,8,1000,516811.0759180978,5168.110759180978,1.0,3481.1129549563366
zero_on_collision,100,100,1.0,1,1.0,0.01,9,1000,498266.17436618893,4982.661743661889,1.0,3513.697860768408
zero_on_collision,100,100,1.0,1,1.0,0.01,10,1000,492266.56947400654,4922.665694740065,1.0,3444.0617030958315
zero_on_collision,100,100,1.0,1,1.0,0.01,11,1000,472573.61679695884,4725.736167969589,1.0,3390.888073703323
zero_on_collision,100,100,1.0,1,1.0,0.01,12,1000,488895.32613774226,4888.953261377423,1.0,3384.62109632508
zero_on_collision,100,100,1.0,1,1.0,0.01,13,1000,474886.64964642865,4748.866496464287,1.0,3414.178324535212
zero_on_collision,100,100,1.0,1,1.0,0.01,14,1000,502596.5932551967,5025.965932551967,1.0,3397.627619013254
zero_on_collision,100,100,1.0,1,1.0,0.01,15,1000,491201.69522883213,4912.016952288322,1.0,3452.3970360543303
zero_on_collision,100,100,1.0,1,1.0,0.01,16,1000,481789.549308653,4817.89549308653,1.0,3293.6797358902377
zero_on_collision,100,100,1.0,1,1.0,0.01,17,1000,491502.71968111367,4915.0271968111365,1.0,3589.1377493202413
zero_on_collision,100,100,1.0,1,1.0,0.01,18,1000,483443.8100577036,4834.438100577036,1.0,3366.5566233936875
zero_on_collision,100,100,1.0,1,1.0,0.01,19,1000,487086.1686899056,4870.861686899056,1.0,3311.2172443508557
zero_on_collision,100,100,1.0,1,1.0,0.01,20,1000,474127.44502959226,4741.274450295922,1.0,3568.873647301391
zero_on_collision,100,100,1.0,1,1.0,0.01,21,1000,470867.17219762225,4708.671721976222,1.0,3324.807738664472
zero_on_collision,100,100,1.0,1,1.0,0.01,22,1000,495679.1052432279,4956.791052432279,1.0,3420.496382217771
zero_on_collision,100,100,1.0,1,1.0,0.01,23,1000,484829.6144005445,4848.296144005445,1.0,3460.163434431528
zero_on_collision,100,100,1.0,1,1.0,0.01,24,1000,486968.01099693484,4869.680109969348,1.0,3422.341089808319
zero_on_collision,100,100,1.0,1,1.0,0.01,25,1000,494248.29529322614,4942.4829529322615,1.0,3436.940914013407
zero_on_collision,100,100,1.0,1,1.0,0.01,26,1000,501897.8661592861,5018.9786615928615,1.0,3531.4819214549902
zero_on_collision,100,100,1.0,1,1.0,0.01,27,1000,476759.1095738765,4767.591095738765,1.0,3434.567228679643
zero_on_collision,100,100,1.0,1,1.0,0.01,28,1000,497777.2823246379,4977.77282324638,1.0,3425.3898959782737
zero_on_collision,100,100,1.0,1,1.0,0.01,29,1000,491761.6775156003,4917.616775156002,1.0,3407.218744395952
zero_on_collision,100,100,1.0,1,1.0,0.01,30,1000,483518.7522835278,4835.187522835278,1.0,3438.361972289974
zero_on_collision,100,100,1.0,1,1.0,0.01,31,1000,480758.2424318656,4807.582424318656,1.0,3442.975346652102
zero_on_collision,100,100,1.0,1,1.0,0.01,32,1000,497100.76671249827,4971.007667124983,1.0,3397.293686590764
zero_on_collision,100,100,1.0,1,1.0,0.01,33,1000,480254.6920570944,4802.546920570944,1.0,3480.369033367269
zero_on_collision,100,100,1.0,1,1.0,0.01,34,1000,495878.1134037056,4958.781134037056,1.0,3477.3341222135914
zero_on_collision,100,100,1.0,1,1.0,0.01,35,1000,495866.8137526901,4958.668137526901,1.0,3486.420287156892
zero_on_collision,100,100,1.0,1,1.0,0.01,36,1000,486960.84774705116,4869.608477470511,1.0,3403.672767209928
