n_agents,n_arms,agent_to_arm_ratio,agents_per_arm,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
100,50,2.0,2,1.0,0.01,0,1000,102274.11727577721,1022.7411727577721,1.0,254.83864978784976
100,50,2.0,2,1.0,0.01,1,1000,101573.3169616718,1015.733169616718,1.0,295.5947781223174
100,50,2.0,2,1.0,0.01,2,1000,102627.24362303954,1026.2724362303954,1.0,278.86548713462247
100,50,2.0,2,1.0,0.01,3,1000,102659.31988392708,1026.5931988392708,1.0,295.39518695134046
100,50,2.0,2,1.0,0.01,4,1000,101746.97024922352,1017.4697024922352,1.0,294.7920158548279
100,50,2.0,2,1.0,0.01,5,1000,99846.22939844507,998.4622939844506,1.0,306.4308377623301
100,50,2.0,2,1.0,0.01,6,1000,102489.31106434688,1024.8931106434688,1.0,312.8409309528299
100,50,2.0,2,1.0,0.01,7,1000,102597.63181152154,1025.9763181152155,1.0,294.4406177312164
100,50,2.0,2,1.0,0.01,8,1000,102389.61757001313,1023.8961757001313,1.0,240.37817741434233
100,50,2.0,2,1.0,0.01,9,1000,103215.0440536866,1032.150440536866,1.0,320.6343846491131
100,50,2.0,2,1.0,0.01,10,1000,100341.39239975082,1003.4139239975083,1.0,271.1327151948676
100,50,2.0,2,1.0,0.01,11,1000,98118.75412865153,981.1875412865153,1.0,251.79993284832292
100,50,2.0,2,1.0,0.01,12,1000,100278.87705157838,1002.7887705157839,1.0,240.7489450732291
100,50,2.0,2,1.0,0.01,13,1000,100642.00791440619,1006.4200791440619,1.0,294.4908092578592
100,50,2.0,2,1.0,0.01,14,1000,103416.88776315826,1034.1688776315825,1.0,307.5202824173448
100,50,2.0,2,1.0,0.01,15,1000,101621.34837796811,1016.2134837796812,1.0,293.87785177031856
100,50,2.0,2,1.0,0.01,16,1000,99567.40442086951,995.6740442086951,1.0,288.6346211422144
100,50,2.0,2,1.0,0.01,17,1000,102780.5802265503,1027.805802265503,1.0,277.83724388050854
100,50,2.0,2,1.0,0.01,18,1000,102045.61516796,1020.4561516796,1.0,238.1419526562066
100,50,2.0,2,1.0,0.01,19,1000,100204.11419572313,1002.0411419572313,1.0,278.7008754600466
100,50,2.0,2,1.0,0.01,20,1000,101686.21280647007,1016.8621280647006,1.0,321.36741668111637
100,50,2.0,2,1.0,0.01,21,1000,101104.82104750731,1011.0482104750731,1.0,317.8243346468245
100,50,2.0,2,1.0,0.01,22,1000,103057.80748267773,1030.5780748267773,1.0,244.82124299662166
100,50,2.0,2,1.0,0.01,23,1000,102618.40344583603,1026.1840344583602,1.0,257.99731312627847
100,50,2.0,2,1.0,0.01,24,1000,101861.42107002062,1018.6142107002062,1.0,253.02897395361728
100,50,2.0,2,1.0,0.01,25,1000,102681.18192349443,1026.8118192349443,1.0,261.94071596948004
100,50,2.0,2,1.0,0.01,26,1000,102596.53257133388,1025.9653257133389,1.0,267.56649163422134
100,50,2.0,2,1.0,0.01,27,1000,101950.50986432865,1019.5050986432865,1.0,334.02049068219833
100,50,2.0,2,1.0,0.01,28,1000,100853.25290662341,1008.5325290662341,1.0,250.08759529898697
100,50,2.0,2,1.0,0.01,29,1000,101497.0753511151,1014.970753511151,1.0,327.0693379792301
100,50,2.0,2,1.0,0.01,30,1000,100558.29762443264,1005.5829762443265,1.0,305.33381500801346
100,50,2.0,2,1.0,0.01,31,1000,101359.8583513558,1013.598583513558,1.0,273.91266177269705
100,50,2.0,2,1.0,0.01,32,1000,103118.25718519358,1031.1825718519358,1.0,300.2932361402563
100,50,2.0,2,1.0,0.01,33,1000,102552.08920067098,1025.5208920067098,1.0,285.0930424162414
100,50,2.0,2,1.0,0.01,34,1000,101265.74146872318,1012.6574146872318,1.0,324.34906607240515
100,50,2.0,2,1.0,0.01,35,1000,102623.70856390787,1026.2370856390787,1.0,287.5488871558049
100,50,2.0,2,1.0,0.01,36,1000,101025.54821292269,1010.2554821292268,1.0,277.00060637425304
100,50,2.0,2,1.0,0.01,37,1000,99569.33000643646,995.6933000643646,1.0,290.53851767564726
100,50,2.0,2,1.0,0.01,38,1000,100187.08920945499,1001.87089209455,1.0,281.46669574375244
100,50,2.0,2,1.0,0.01,39,1000,103069.23691539442,1030.6923691539441,1.0,284.394691154957
100,50,2.0,2,1.0,0.01,40,1000,102081.84201434618,1020.8184201434618,1.0,319.5902167878754
100,50,2.0,2,1.0,0.01,41,1000,102996.4925362154,1029.964925362154,1.0,303.78873790635
100,50,2.0,2,1.0,0.01,42,1000,101688.13569999927,1016.8813569999927,1.0,303.61573564316757
100,50,2.0,2,1.0,0.01,43,1000,100253.73130118036,1002.5373130118037,1.0,329.3730060613622
