collision_policy,n_agents,n_arms,agent_to_arm_ratio,agents_per_arm,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
full_value,100,50,2.0,2,1.0,0.01,0,1000,321160.2628593869,3211.602628593869,1.0,644.8242268162516
full_value,100,50,2.0,2,1.0,0.01,1,1000,312541.20723216457,3125.4120723216456,1.0,644.5818752177737
full_value,100,50,2.0,2,1.0,0.01,2,1000,321224.4050630174,3212.2440506301737,1.0,552.3804607683927
full_value,100,50,2.0,2,1.0,0.01,3,1000,313319.58513300325,3133.1958513300324,1.0,566.3390011607733
full_value,100,50,2.0,2,1.0,0.01,4,1000,314560.3671697529,3145.603671697529,1.0,631.9671694445876
full_value,100,50,2.0,2,1.0,0.01,5,1000,300995.807593408,3009.9580759340797,1.0,763.3643216016228
full_value,100,50,2.0,2,1.0,0.01,6,1000,315270.01579712174,3152.7001579712173,1.0,542.3097005363952
full_value,100,50,2.0,2,1.0,0.01,7,1000,305425.6071624648,3054.256071624648,1.0,675.7202031566185
full_value,100,50,2.0,2,1.0,0.01,8,1000,325336.8237312696,3253.368237312696,1.0,670.4410431938322
full_value,100,50,2.0,2,1.0,0.01,9,1000,322123.08739054535,3221.2308739054533,1.0,653.4126344252164
full_value,100,50,2.0,2,1.0,0.01,10,1000,309934.2332960081,3099.342332960081,1.0,650.3637341495713
full_value,100,50,2.0,2,1.0,0.01,11,1000,305803.5398234446,3058.0353982344463,1.0,630.0616693300132
full_value,100,50,2.0,2,1.0,0.01,12,1000,314444.0503643719,3144.4405036437192,1.0,567.8992359296319
full_value,100,50,2.0,2,1.0,0.01,13,1000,303678.28061522474,3036.7828061522473,1.0,675.4570473622682
full_value,100,50,2.0,2,1.0,0.01,14,1000,311050.09250089584,3110.5009250089583,1.0,660.9626722184998
full_value,100,50,2.0,2,1.0,0.01,15,1000,307972.59540786064,3079.7259540786063,1.0,714.8002016217492
