n_agents,n_arms,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
2,3,0.0,0,1000,997.0472955395148,498.5236477697574,1.0,0.0
2,3,0.0,1,1000,1026.4751576670694,513.2375788335347,1.0,0.0
2,3,0.0,2,1000,1000.8189707875202,500.4094853937601,1.0,0.0
2,3,0.0,3,1000,981.9576734180741,490.97883670903707,1.0,0.0
2,3,0.0,4,1000,1010.3296293819435,505.16481469097175,1.0,0.0
2,3,0.0,5,1000,981.8903909508585,490.9451954754293,1.0,0.0
2,3,0.0,6,1000,1037.3396739041302,518.6698369520651,1.0,0.0
2,3,0.0,7,1000,976.2308811583744,488.1154405791872,1.0,0.0
2,3,0.0,8,1000,981.0041418923001,490.50207094615007,1.0,0.0
2,3,0.0,9,1000,971.5425857736069,485.77129288680345,1.0,0.0
2,3,0.0,10,1000,945.7218559947626,472.8609279973813,1.0,0.0
2,3,0.0,11,1000,1031.8268337789436,515.9134168894718,1.0,0.0
2,3,0.0,12,1000,1008.3736356455173,504.18681782275866,1.0,0.0
2,3,0.0,13,1000,1945.4052771074378,972.7026385537189,1.0,0.0
2,3,0.0,14,1000,1949.6841790815554,974.8420895407777,1.0,0.0
2,3,0.0,15,1000,1007.7233127505508,503.8616563752754,1.0,0.0
2,3,0.0,16,1000,1022.35872825297,511.179364126485,1.0,0.0
2,3,0.0,17,1000,1035.2323848258234,517.6161924129117,1.0,0.0
2,3,0.0,18,1000,1030.1389597871619,515.0694798935809,1.0,0.0
2,3,0.0,19,1000,1989.9236668693527,994.9618334346764,1.0,0.0
2,3,0.0,20,1000,978.603859946034,489.301929973017,1.0,0.0
2,3,0.0,21,1000,965.9653624835622,482.9826812417811,1.0,0.0
2,3,0.0,22,1000,969.4487786631964,484.7243893315982,1.0,0.0
2,3,0.0,23,1000,1011.3305587081704,505.6652793540852,1.0,0.0
2,3,0.0,24,1000,975.415561081159,487.7077805405795,1.0,0.0
2,3,0.0,25,1000,1043.2718668963514,521.6359334481757,1.0,0.0
2,3,0.0,26,1000,965.4937886619003,482.74689433095017,1.0,0.0
2,3,0.0,27,1000,980.5143834710824,490.2571917355412,1.0,0.0
2,3,0.0,28,1000,1026.1834722223623,513.0917361111811,1.0,0.0
2,3,0.0,29,1000,1035.1171510489876,517.5585755244938,1.0,0.0
2,3,0.0,30,1000,1015.1463482186343,507.57317410931716,1.0,0.0
2,3,0.0,31,1000,1995.6594664071306,997.8297332035653,1.0,0.0
2,3,0.0,32,1000,979.1174218615919,489.55871093079594,1.0,0.0
2,3,0.0,33,1000,959.0246253503857,479.51231267519285,1.0,0.0
2,3,0.0,34,1000,997.1505984070981,498.57529920354904,1.0,0.0
2,3,0.0,35,1000,1972.420408379068,986.210204189534,1.0,0.0
2,3,0.0,36,1000,962.0026443013945,481.00132215069726,1.0,0.0
2,3,0.0,37,1000,2026.1007587741449,1013.0503793870724,1.0,0.0
2,3,0.0,38,1000,970.3819599711869,485.19097998559346,1.0,0.0
2,3,0.0,39,1000,1005.7760749309465,502.88803746547325,1.0,0.0
2,3,0.0,40,1000,992.4362582497561,496.21812912487803,1.0,0.0
2,3,0.0,41,1000,992.9632459687244,496.4816229843622,1.0,0.0
2,3,0.0,42,1000,983.6132082212221,491.80660411061103,1.0,0.0
2,3,0.0,43,1000,981.227506265937,490.6137531329685,1.0,0.0
2,3,0.0,44,1000,1022.9474503179317,511.47372515896586,1.0,0.0
2,3,0.0,45,1000,993.3792726810555,496.6896363405277,1.0,0.0
2,3,0.0,46,1000,1990.2694724766627,995.1347362383314,1.0,0.0
2,3,0.0,47,1000,1017.6953441799496,508.8476720899748,1.0,0.0
2,3,0.0,48,1000,977.9107531603781,488.95537658018907,1.0,0.0
2,3,0.0,49,1000,1012.3062507861945,506.15312539309724,1.0,0.0
2,3,0.01,0,1000,2803.177389700057,1401.5886948500286,0.35,200.1113708784294
2,3,0.01,1,1000,2975.102221580023,1487.5511107900115,0.012,496.21748021589565
2,3,0.01,2,1000,2985.7270370254364,1492.8635185127182,0.188,166.66214530870536
2,3,0.01,3,1000,2938.090280854808,1469.045140427404,0.066,8.427778698399948
2,3,0.01,4,1000,2656.2434434693105,1328.1217217346552,0.219,40.069700351729466
2,3,0.01,5,1000,2976.390006365696,1488.195003182848,0.02,457.90518594016567
2,3,0.01,6,1000,3386.4554414408185,1693.2277207204093,0.013,162.4340937489901
2,3,0.01,7,1000,3219.1099393800323,1609.5549696900162,0.04,332.82929108035535
2,3,0.01,8,1000,3303.0362652097715,1651.5181326048857,0.045,305.970771184074
2,3,0.01,9,1000,2706.4973591851176,1353.2486795925588,0.387,112.33449147649605
2,3,0.01,10,1000,3279.770750084027,1639.8853750420135,0.061,289.9114076745883
2,3,0.01,11,1000,1999.0943191510414,999.5471595755207,0.531,179.5448593583514
2,3,0.01,12,1000,2764.7243993511934,1382.3621996755967,0.437,29.073728495568275
2,3,0.01,13,1000,2925.908789308598,1462.954394654299,0.354,121.36018843551335
2,3,0.01,14,1000,2576.331728921441,1288.1658644607205,0.606,89.9339455050108
2,3,0.01,15,1000,3418.306689275527,1709.1533446377634,0.047,251.59960999260772
2,3,0.01,16,1000,3053.7589157746743,1526.8794578873371,0.031,61.178836550184315
2,3,0.01,17,1000,2881.5390723023575,1440.7695361511787,0.361,53.75716738277799
2,3,0.01,18,1000,2823.458478808532,1411.729239404266,0.202,96.89808279573822
2,3,0.01,19,1000,2613.689034554431,1306.8445172772156,0.614,88.89737310298847
2,3,0.01,20,1000,3400.2259845147364,1700.1129922573682,0.027,180.6040838461306
2,3,0.01,21,1000,3327.0820095307035,1663.5410047653518,0.009,404.7941272915492
2,3,0.01,22,1000,3087.923369111248,1543.961684555624,0.061,299.2462792081378
2,3,0.01,23,1000,3296.664822038473,1648.3324110192366,0.054,304.04112226206246
2,3,0.01,24,1000,2751.763491614256,1375.881745807128,0.274,153.1736093609553
2,3,0.01,25,1000,2581.1854406538096,1290.5927203269048,0.201,11.747259718182363
2,3,0.01,26,1000,2666.611624991292,1333.305812495646,0.208,359.8466680516952
2,3,0.01,27,1000,2688.6321043491293,1344.3160521745647,0.145,20.405092375708364
2,3,0.01,28,1000,2378.0364859297797,1189.0182429648899,0.224,250.62760765829137
2,3,0.01,29,1000,2531.543959398212,1265.771979699106,0.032,237.96973637886697
2,3,0.01,30,1000,2936.5921014668806,1468.2960507334403,0.036,457.6792221735139
2,3,0.01,31,1000,3254.3200826021384,1627.1600413010692,0.151,174.25819893059042
2,3,0.01,32,1000,3339.5648346040925,1669.7824173020463,0.037,198.68471477861283
2,3,0.01,33,1000,3280.762887053338,1640.381443526669,0.056,280.40222747744554
2,3,0.01,34,1000,2782.198092746399,1391.0990463731996,0.421,194.9967771034602
2,3,0.01,35,1000,3398.3379998950663,1699.1689999475332,0.037,204.43826211687156
2,3,0.01,36,1000,3466.3367816297127,1733.1683908148564,0.015,227.67934174600236
2,3,0.01,37,1000,2970.633372835987,1485.3166864179934,0.361,177.3725475760201
2,3,0.01,38,1000,2574.218633549954,1287.109316774977,0.073,334.43193109896833
2,3,0.01,39,1000,3566.5223497501265,1783.2611748750633,0.013,221.77329389992644
2,3,0.01,40,1000,3204.1731618750505,1602.0865809375252,0.061,137.35137781276944
2,3,0.01,41,1000,2833.152503848257,1416.5762519241284,0.155,92.32491401038692
2,3,0.01,42,1000,2472.8630892084648,1236.4315446042324,0.249,325.4740027616603
2,3,0.01,43,1000,3027.0819389365906,1513.5409694682953,0.14,151.78778764368633
2,3,0.01,44,1000,3316.376601648009,1658.1883008240045,0.038,300.7581833058439
2,3,0.01,45,1000,3184.7548861049972,1592.3774430524986,0.114,246.75802404968908
2,3,0.01,46,1000,3510.142488073975,1755.0712440369875,0.026,253.72888404059847
2,3,0.01,47,1000,2836.8360832176577,1418.4180416088288,0.086,485.17310435020767
2,3,0.01,48,1000,2743.69591140501,1371.847955702505,0.027,352.987746593503
2,3,0.01,49,1000,2867.0995696184027,1433.5497848092014,0.131,65.45639892910003
2,3,0.05,0,1000,3312.2521356634743,1656.1260678317371,0.067,189.34604946512934
2,3,0.05,1,1000,3365.804113188463,1682.9020565942315,0.042,256.2034339670739
2,3,0.05,2,1000,3333.7846180948263,1666.8923090474132,0.055,203.51158863022533
2,3,0.05,3,1000,3393.781840570242,1696.890920285121,0.028,236.19832352405888
2,3,0.05,4,1000,3365.405327603011,1682.7026638015054,0.066,234.7032853916536
2,3,0.05,5,1000,3416.3495715944223,1708.1747857972111,0.037,264.3292577582804
2,3,0.05,6,1000,3446.680914621777,1723.3404573108885,0.031,249.74694766689686
2,3,0.05,7,1000,3356.662891774313,1678.3314458871564,0.055,253.07411656770887
2,3,0.05,8,1000,3296.8828710266594,1648.4414355133297,0.039,238.415078744757
2,3,0.05,9,1000,3403.6105610253785,1701.8052805126893,0.03,227.88729337498535
2,3,0.05,10,1000,3154.7923500256666,1577.3961750128333,0.166,155.53113904444183
2,3,0.05,11,1000,3371.044091356674,1685.522045678337,0.073,219.90686633027735
2,3,0.05,12,1000,3441.74727353423,1720.873636767115,0.058,202.23691613700964
2,3,0.05,13,1000,3248.3674892247554,1624.1837446123777,0.134,183.05325973055471
2,3,0.05,14,1000,3284.3867591650924,1642.1933795825462,0.11,248.1137157483796
2,3,0.05,15,1000,3425.2846141851255,1712.6423070925628,0.025,274.660518690501
2,3,0.05,16,1000,3373.967651919985,1686.9838259599926,0.054,246.63160445000585
2,3,0.05,17,1000,3270.9930157313975,1635.4965078656987,0.061,247.82673652029234
2,3,0.05,18,1000,2150.596521791366,1075.298260895683,0.789,79.34070369611936
2,3,0.05,19,1000,3201.002029500918,1600.501014750459,0.115,209.5080870809452
2,3,0.05,20,1000,3291.3979024744162,1645.6989512372081,0.042,272.8568529891829
2,3,0.05,21,1000,3451.9821979678663,1725.9910989839332,0.029,276.15731010150114
2,3,0.05,22,1000,3162.6671079571197,1581.3335539785598,0.159,180.55990809823118
2,3,0.05,23,1000,3278.66059916547,1639.330299582735,0.056,166.70909703639632
2,3,0.05,24,1000,3297.509520997518,1648.754760498759,0.062,290.72683738337867
2,3,0.05,25,1000,3330.6964581860757,1665.3482290930378,0.037,246.43238478070373
2,3,0.05,26,1000,3339.549229975686,1669.774614987843,0.037,254.56322071175657
2,3,0.05,27,1000,3298.2177983899846,1649.1088991949923,0.076,231.77262944512677
2,3,0.05,28,1000,2533.9361084971806,1266.9680542485903,0.58,62.30828741766868
2,3,0.05,29,1000,3359.130473745907,1679.5652368729534,0.11,229.33887259751407
2,3,0.05,30,1000,3340.2742808561925,1670.1371404280962,0.114,201.66243912417087
2,3,0.05,31,1000,3357.172393451665,1678.5861967258325,0.049,167.47708296126848
2,3,0.05,32,1000,3455.764888124622,1727.882444062311,0.035,201.25123961785584
2,3,0.05,33,1000,3275.680226020482,1637.840113010241,0.075,249.14411325285687
2,3,0.05,34,1000,3155.778919502396,1577.889459751198,0.097,302.04097464319193
2,3,0.05,35,1000,3373.896188524047,1686.9480942620235,0.057,223.74140349508423
2,3,0.05,36,1000,3478.6321332565212,1739.3160666282606,0.034,219.67370904066343
2,3,0.05,37,1000,3412.4838903710183,1706.2419451855092,0.04,186.48146576574436
2,3,0.05,38,1000,3317.9767280221217,1658.9883640110609,0.123,225.8627449707799
2,3,0.05,39,1000,3388.189011722282,1694.094505861141,0.043,234.01357496982143
2,3,0.05,40,1000,3286.7302824763797,1643.3651412381898,0.065,191.02932968847313
2,3,0.05,41,1000,3288.5200616661737,1644.2600308330868,0.052,322.3979895220011
2,3,0.05,42,1000,2666.952443702634,1333.476221851317,0.477,144.97390625675268
2,3,0.05,43,1000,3255.103826121361,1627.5519130606806,0.044,258.4068276500386
2,3,0.05,44,1000,3195.3471371932933,1597.6735685966466,0.092,202.12508639655994
2,3,0.05,45,1000,3519.265700413932,1759.632850206966,0.026,241.24828198834848
2,3,0.05,46,1000,3374.377055869276,1687.188527934638,0.056,204.3519343826564
2,3,0.05,47,1000,3388.7814039026116,1694.3907019513058,0.04,254.68834035319662
2,3,0.05,48,1000,3276.481363706089,1638.2406818530444,0.046,299.31772168558484
2,3,0.05,49,1000,3311.974877555537,1655.9874387777686,0.058,261.3331559811912
2,3,0.1,0,1000,3326.8766280426935,1663.4383140213467,0.069,231.09481598681407
2,3,0.1,1,1000,3340.383402950527,1670.1917014752635,0.061,237.14755646760216
2,3,0.1,2,1000,3243.935440259793,1621.9677201298964,0.09,225.3801684684396
2,3,0.1,3,1000,3393.694221845106,1696.847110922553,0.068,212.5708091374122
2,3,0.1,4,1000,3291.0119791834322,1645.5059895917161,0.056,235.8768531458893
2,3,0.1,5,1000,3231.5540070593147,1615.7770035296573,0.119,193.3686647575057
2,3,0.1,6,1000,3371.4007483177215,1685.7003741588608,0.063,167.68198397939955
