n_agents,n_arms,std,epsilon,seed,steps,group_total_reward,mean_agent_reward,collision_rate,reward_inequality
1,3,0.5,0.0,0,1000,1008.3592125164134,1008.3592125164134,0.0,0.0
1,3,0.5,0.0,1,1000,958.2153395234404,958.2153395234404,0.0,0.0
1,3,0.5,0.0,2,1000,989.284279886428,989.284279886428,0.0,0.0
1,3,0.5,0.0,3,1000,1030.6139119261852,1030.6139119261852,0.0,0.0
1,3,0.5,0.0,4,1000,977.8885656828526,977.8885656828526,0.0,0.0
1,3,0.5,0.0,5,1000,995.5100671558374,995.5100671558374,0.0,0.0
1,3,0.5,0.0,6,1000,990.9803919201357,990.9803919201357,0.0,0.0
1,3,0.5,0.0,7,1000,1003.8794124188904,1003.8794124188904,0.0,0.0
1,3,0.5,0.0,8,1000,997.8421853592786,997.8421853592786,0.0,0.0
1,3,0.5,0.0,9,1000,993.4708632572032,993.4708632572032,0.0,0.0
1,3,0.5,0.0,10,1000,1013.2096928692622,1013.2096928692622,0.0,0.0
1,3,0.5,0.0,11,1000,1982.0763064264167,1982.0763064264167,0.0,0.0
1,3,0.5,0.0,12,1000,988.9501366717926,988.9501366717926,0.0,0.0
1,3,0.5,0.0,13,1000,993.7469895579941,993.7469895579941,0.0,0.0
1,3,0.5,0.0,14,1000,1017.3308257168127,1017.3308257168127,0.0,0.0
1,3,0.5,0.0,15,1000,1022.3999799633559,1022.3999799633559,0.0,0.0
1,3,0.5,0.0,16,1000,1016.1520554516022,1016.1520554516022,0.0,0.0
1,3,0.5,0.0,17,1000,991.8305451089717,991.8305451089717,0.0,0.0
1,3,0.5,0.0,18,1000,1003.8245020265807,1003.8245020265807,0.0,0.0
1,3,0.5,0.0,19,1000,1004.5136241940897,1004.5136241940897,0.0,0.0
1,3,0.5,0.0,20,1000,1004.6282241277148,1004.6282241277148,0.0,0.0
1,3,0.5,0.0,21,1000,1013.7778930990677,1013.7778930990677,0.0,0.0
1,3,0.5,0.0,22,1000,990.7946106272153,990.7946106272153,0.0,0.0
1,3,0.5,0.0,23,1000,980.1323001173226,980.1323001173226,0.0,0.0
1,3,0.5,0.0,24,1000,983.330480343112,983.330480343112,0.0,0.0
1,3,0.5,0.0,25,1000,1000.7062741665139,1000.7062741665139,0.0,0.0
